DMIS ID Facility Code	Facility
0000	0000	Default
0001	0001	FOX AHC-REDSTONE ARSENAL
0002	0002	NOBLE AHC-FT. MCCLELLAN
0003	0003	LYSTER AHC-FT. RUCKER
0004	0004	42ND MEDICAL GROUP-MAXWELL
0005	0005	BASSETT ACH-FT. WAINWRIGHT
0006	0006	3rd MED GRP-ELMENDORF
0007	0007	BMC ADAK
0008	0008	R W BLISS AHC-FT. HUACHUCA
0009	0009	56th MED GRP-LUKE
0010	0010	355th MED GRP-DAVIS MONTHAN
0011	0011	82nd MED SQUAD-WILLIAMS
0012	0012	97th STRAT HOSP-EAKER
0013	0013	19th MEDICAL GROUP-LITTLE ROCK
0014	0014	60th MED GRP-TRAVIS
0015	0015	9th MED GRP-BEALE
0016	0016	77th MED GRP-MATHER
0017	0017	93rd MED GRP-CASTLE
0018	0018	30th MED GRP-VANDENBERG
0019	0019	95th MED GRP-EDWARDS
0020	0020	831st MED GRP-GEORGE
0021	0021	722nd MED GRP-MARCH
0022	0022	LETTERMAN AHC-PRESIDIO
0023	0023	SILAS B HAYS AHC-FT. ORD
0024	0024	NH CAMP PENDLETON
0025	0025	NMCL LONG BEACH
0026	0026	NBHC PORT HUENEME
0027	0027	NH OAKLAND
0028	0028	NH LEMOORE
0029	0029	NMC SAN DIEGO
0030	0030	NH TWENTYNINE PALMS
0031	0031	FITZSIMONS TMC-DENVER
0032	0032	EVANS ACH-FT. CARSON
0033	0033	10th MED GROUP-USAF ACADEMY CO
0034	0034	USCG CLINIC NEW LONDON
0035	0035	NBHC GROTON
0036	0036	436th MED GRP-DOVER
0037	0037	WALTER REED AMC-WASHINGTON DC
0038	0038	NH PENSACOLA
0039	0039	NH JACKSONVILLE
0040	0040	NH ORLANDO
0041	0041	BMC KEY WEST
0042	0042	96th MED GRP-EGLIN
0043	0043	325th MED GRP-TYNDALL
0044	0044	31st MED GRP-HOMESTEAD
0045	0045	6th MED GRP-MACDILL
0046	0046	45th MED GRP-PATRICK
0047	0047	EISENHOWER AMC-FT. GORDON
0048	0048	MARTIN ACH-FT. BENNING
0049	0049	WINN ACH-FT. STEWART
0050	0050	23rd MED GRP-MOODY
0051	0051	78th MED GRP-ROBINS
0052	0052	TRIPLER AMC-FT SHAFTER
0053	0053	366th MED GRP-MOUNTAIN HOME
0054	0054	CHANUTE TTC HOSP
0055	0055	375th MED GRP-SCOTT
0056	0056	FHCC-FORMERLY NHC GREAT LAKES
0057	0057	IRWIN ACH-FT. RILEY
0058	0058	MUNSON AHC-FT. LEAVENWORTH
0059	0059	22nd MED GRP-MCCONNELL
0060	0060	BLANCHFIELD ACH-FT. CAMPBELL
0061	0061	IRELAND ACH-FT. KNOX
